Date,Open,High,Low,Close,Adj Close,Volume
2020-08-21,76.940002,77.269997,76.690002,77.070000,74.132690,5594100
2020-08-24,77.709999,79.139999,77.250000,78.680000,75.681320,5867400
2020-08-25,80.059998,83.070000,79.790001,82.720001,79.567352,17659500
2020-08-26,82.419998,82.750000,81.879997,82.410004,79.269165,7934300
2020-08-27,82.750000,83.639999,82.500000,83.410004,80.231064,9099200
2020-08-28,83.790001,85.290001,83.430000,85.000000,81.760460,9303900
2020-08-31,84.629997,85.360001,84.029999,84.470001,81.250648,6401600
2020-09-01,84.699997,86.089996,84.230003,86.050003,82.770424,8166100
2020-09-02,86.510002,88.750000,86.290001,88.349998,84.982780,11378900
2020-09-03,88.599998,88.980003,85.690002,86.480003,83.184052,11036600
2020-09-04,87.089996,87.779999,85.309998,86.269997,82.982040,10349400
2020-09-08,85.269997,87.580002,84.769997,85.410004,82.154831,11083100
2020-09-09,85.930000,86.830002,84.459999,85.860001,82.587669,6928700
2020-09-10,85.800003,87.070000,84.529999,84.879997,81.645020,7552000
2020-09-11,84.949997,85.849998,84.150002,85.269997,82.020157,7103300
2020-09-14,85.750000,87.059998,85.639999,86.629997,83.328331,5535800
2020-09-15,87.180000,88.250000,87.169998,87.709999,84.367157,8361900
2020-09-16,88.000000,89.430000,87.750000,88.379997,85.011627,7146400
2020-09-17,87.050003,87.320000,85.360001,86.750000,83.443764,7386600
2020-09-18,86.809998,87.239998,84.599998,84.949997,81.712357,10113400
2020-09-21,82.860001,83.949997,81.750000,83.889999,80.692749,7188800
2020-09-22,84.050003,84.389999,83.180000,83.949997,80.750465,4465000
2020-09-23,84.379997,84.900002,82.820000,82.989998,79.827065,6414700
2020-09-24,82.629997,84.139999,81.919998,83.040001,79.875168,4881500
2020-09-25,82.529999,84.690002,82.220001,84.300003,81.087128,5981500
2020-09-28,85.519997,86.239998,84.989998,86.070000,82.789665,5976200
2020-09-29,86.250000,86.250000,84.629997,84.800003,81.568085,4064000
2020-09-30,86.629997,87.160004,85.470001,85.919998,82.645386,10134400
2020-10-01,87.040001,87.449997,86.199997,86.739998,83.434135,7241200
2020-10-02,85.150002,87.129997,85.089996,86.570000,83.270630,5602300
2020-10-05,87.269997,88.680000,87.199997,88.470001,85.098206,7004800
2020-10-06,88.650002,89.279999,86.800003,87.010002,83.693863,7951100
2020-10-07,87.820000,88.980003,87.440002,88.449997,85.078964,5179300
2020-10-08,88.459999,89.610001,88.410004,89.529999,86.117805,4958800
2020-10-09,89.800003,90.330002,89.580002,90.010002,86.579514,6197700
2020-10-12,90.459999,91.099998,89.930000,90.779999,87.320160,5909100
2020-10-13,90.580002,90.849998,89.769997,90.160004,86.723793,5732000
2020-10-14,90.169998,90.599998,88.559998,89.309998,85.906189,4760700
2020-10-15,88.160004,88.870003,87.669998,88.830002,85.444473,5002200
2020-10-16,89.389999,89.629997,88.440002,88.519997,85.146294,4721300
2020-10-19,88.699997,89.570000,87.360001,87.599998,84.261353,5426600
2020-10-20,88.680000,89.720001,88.040001,88.510002,85.136681,4939700
2020-10-21,88.379997,89.160004,88.190002,88.269997,84.905823,4119200
2020-10-22,88.019997,89.379997,87.699997,89.360001,85.954285,4257800
2020-10-23,89.800003,90.959999,89.440002,90.800003,87.339394,7811500
2020-10-26,90.029999,91.129997,88.650002,89.660004,86.242851,7756400
2020-10-27,89.480003,90.349998,89.169998,90.050003,86.617996,8027500
2020-10-28,88.650002,88.949997,86.610001,87.169998,83.847748,12738800
2020-10-29,87.169998,89.110001,86.610001,88.300003,84.934685,8440000
2020-10-30,87.750000,88.389999,85.629997,86.959999,83.645752,11400700
2020-11-02,87.540001,87.769997,85.449997,85.970001,82.693481,8904900
2020-11-03,86.779999,89.059998,86.180000,88.389999,85.021263,6910400
2020-11-04,88.900002,91.290001,88.739998,89.790001,86.367905,10509400
2020-11-05,90.690002,91.160004,89.900002,90.620003,87.166252,6169700
2020-11-06,90.150002,91.199997,89.779999,90.650002,87.195122,6626100
2020-11-09,97.320000,97.650002,95.639999,95.879997,92.225792,16225800
2020-11-10,93.739998,95.269997,93.139999,93.919998,90.766487,10474700
2020-11-11,94.110001,95.830002,94.019997,95.040001,91.848877,8296500
2020-11-12,94.660004,94.760002,92.660004,93.529999,90.389595,7058400
2020-11-13,94.379997,95.589996,93.699997,95.559998,92.351418,5516100
2020-11-16,96.790001,97.809998,96.019997,97.779999,94.496887,9371300
2020-11-17,97.209999,98.779999,96.809998,98.599998,95.289360,8722300
2020-11-18,98.629997,99.330002,97.910004,97.910004,94.622536,6039500
2020-11-19,97.239998,97.919998,96.860001,97.760002,94.477562,4252300
2020-11-20,97.419998,97.540001,96.949997,97.010002,93.752739,4609700
2020-11-23,97.620003,97.860001,96.419998,96.879997,93.627106,4803200
2020-11-24,97.510002,98.720001,97.400002,98.300003,94.999428,6319900
2020-11-25,98.500000,98.540001,97.940002,98.199997,94.902779,4027100
2020-11-27,98.480003,98.980003,98.279999,98.660004,95.347336,2169700
2020-11-30,98.199997,98.290001,96.959999,98.019997,94.728828,5197300
2020-12-01,99.000000,99.260002,98.250000,98.820000,95.501961,4970000
2020-12-02,98.510002,99.040001,98.209999,98.910004,95.588951,3377900
2020-12-03,99.019997,101.000000,98.970001,100.110001,96.748657,6264100
2020-12-04,101.349998,102.940002,101.070000,102.279999,98.845787,6952700
2020-12-07,102.010002,102.220001,100.690002,101.410004,98.005013,4514800
2020-12-08,100.370003,101.570000,100.010002,101.209999,97.811714,3911300
2020-12-09,101.940002,102.209999,100.099998,100.400002,97.028915,6629900
2020-12-10,103.510002,106.089996,102.750000,105.389999,101.851379,12939200
